Contributor,Amount,Remarks,Snapshot Date,Month
techmannih,405.80,"3 star (⭐⭐⭐) sponsorship | Issues Created: 29 (0.2pts/issue)",2025-02-21,February
imrishabh18,410.40,"3 star (👑) sponsorship | Issues Created: 52 (0.2pts/issue)",2025-02-21,February
MustafaMulla29,0.00,"1 star (⭐) sponsorship | Issues Created: 1 (0.2pts/issue) | Weekly contribution requirement not met",2025-02-21,February
Anshgrover23,403.40,"3 star (⭐⭐⭐) sponsorship | Issues Created: 17 (0.2pts/issue)",2025-02-21,February
Abse2001,0.00,"1 star (⭐) sponsorship | Issues Created: 3 (0.2pts/issue) | Weekly contribution requirement not met",2025-02-21,February
seveibar,420.00,"3 star (👑) sponsorship | Issues Created: 100 (0.2pts/issue)",2025-02-21,February
ShiboSoftwareDev,406.40,"3 star (⭐⭐⭐) sponsorship | Issues Created: 32 (0.2pts/issue)",2025-02-21,February
ArnavK-09,152.80,"2 star (⭐⭐) sponsorship | Issues Created: 14 (0.2pts/issue)",2025-02-21,February
kom-senapati,154.40,"2 star (⭐⭐) sponsorship | Issues Created: 22 (0.2pts/issue)",2025-02-21,February
Ayushjhawar8,0.00,"1 star (⭐) sponsorship | Issues Created: 2 (0.2pts/issue) | Weekly contribution requirement not met",2025-02-21,February
AayushSaini101,0.00,"No star rating or qualifying score | Weekly contribution requirement not met",2025-02-21,February
deekshatomer,0.00,"No star rating or qualifying score | Weekly contribution requirement not met",2025-02-21,February
zalabhavy,0.00,"No star rating or qualifying score | Issues Created: 2 (0.2pts/issue) | Weekly contribution requirement not met",2025-02-21,February
krushnarout,0.00,"No star rating or qualifying score | Weekly contribution requirement not met",2025-02-21,February
007King007,0.00,"No star rating or qualifying score | Weekly contribution requirement not met",2025-02-21,February
AnasSarkiz,0.00,"No star rating or qualifying score | Weekly contribution requirement not met",2025-02-21,February
rohittcodes,0.00,"No star rating or qualifying score | Issues Created: 1 (0.2pts/issue) | Weekly contribution requirement not met",2025-02-21,February
aryel780,0.00,"No star rating or qualifying score | Weekly contribution requirement not met",2025-02-21,February
siva222003,0.00,"No star rating or qualifying score | Weekly contribution requirement not met",2025-02-21,February
Saurabhsing21,0.00,"No star rating or qualifying score | Weekly contribution requirement not met",2025-02-21,February
PatanSharuKhan,0.00,"No star rating or qualifying score | Weekly contribution requirement not met",2025-02-21,February
Rishikesh63,0.00,"1 star (⭐) sponsorship | Issues Created: 2 (0.2pts/issue) | Weekly contribution requirement not met",2025-02-21,February
AbhinavTheDev,0.00,"No star rating or qualifying score | Weekly contribution requirement not met",2025-02-21,February
ajey35,0.00,"No star rating or qualifying score | Issues Created: 1 (0.2pts/issue) | Weekly contribution requirement not met",2025-02-21,February
18bharathkumar,0.00,"No star rating or qualifying score | Weekly contribution requirement not met",2025-02-21,February
DrSensor,0.00,"No star rating or qualifying score | Issues Created: 1 (0.2pts/issue) | Weekly contribution requirement not met",2025-02-21,February